PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米)
37.49,49.78,11.51,6.01,0.68,100.33
39.52,52.86,11.29,6.73,0.75,96.36
38.46,53.44,11.18,7.84,0.81,96.06
37.51,53.59,11.14,8.82,0.84,98.65
36.45,52.17,10.87,9.08,0.8,100.96
35.62,50.49,9.97,8.88,0.76,102.66
35.68,49.6,8.88,8.58,0.71,103.76
34.99,48.98,8.33,8.8,0.69,104.11
33.05,47.07,8.06,8.98,0.66,105.29
30.48,43.69,7.42,8.51,0.58,106.94
28.97,41.56,7.82,8.28,0.5,108.27
27.65,40.07,8.58,8.45,0.45,109.68
26.25,38.66,8.79,8.1,0.39,113.49
20.69,29.39,4.6,2.79,0.23,118.57
13.09,14.5,1.97,1.33,0.16,41.25
13.23,15.01,1.95,1.46,0.16,40.08
12.69,15.23,2.11,1.93,0.18,38.85
12.61,15.88,2.17,2.2,0.2,36.45
12.47,16.39,2.26,2.23,0.24,34.23
12.26,16.83,2.64,2.75,0.32,31.54
12.14,17.48,2.9,3.14,0.4,28.25
11.4,17.63,2.9,3.33,0.46,24.88
10.31,17.18,3.07,3.72,0.5,22.73
9.23,16.22,3.17,3.8,0.5,21
8.89,16.76,3.81,5.17,0.55,19.83
8.68,17.37,4.15,5.27,0.57,19.97
8.57,16.91,3.33,3.76,0.49,20.26
8.72,16.42,2.88,2.81,0.45,21.24
9.09,15.9,2.67,2.19,0.41,22.71
10.07,15.79,2.68,1.97,0.36,26.94
11.73,15.96,2.93,1.88,0.3,33.25
32,42.46,9.36,6,0.46,68.43
24.98,37.11,9.23,6.47,0.51,63.39
23.26,34.71,8.66,6.69,0.52,62.54
22.93,34.27,7.98,7.05,0.53,59.2
22.78,34.5,7.97,7.93,0.57,57.41
22.38,34.61,7.36,8.04,0.59,56.1
21.47,34.18,6.82,7.73,0.61,55.46
21.28,34.52,6.79,7.81,0.64,54.61
22.13,35.73,7.05,7.85,0.68,54.33
22.93,36.89,7.35,8.18,0.71,53.2
22.84,37.25,7.75,8.63,0.76,52.3
22.16,37.14,8.25,9.08,0.81,51.56
21.9,37.22,8.75,9.07,0.84,51.47
21.61,37.26,9.23,9.19,0.87,51.36
20.86,36.9,9.66,9.8,0.9,51.11
19.77,36.16,10.13,10.62,0.92,51.5
20,36,10.65,11.02,0.91,53.26
20.71,36.27,11.2,11.1,0.89,55.89
22.03,37,11.83,11.01,0.86,59.26
22.84,37.37,12.13,10.46,0.83,63.56
24.75,38.91,12.28,9.87,0.8,67.47
26.11,40.47,12.69,10.6,0.82,68.69
25.27,40.06,12.83,11.65,0.85,68.53
25.08,39.93,12.62,11.56,0.83,71.61
27.22,41.72,12.18,11.04,0.79,75.08
29.26,43.55,11.97,10.38,0.74,78.02
30.13,44.62,12.01,9.97,0.73,80.54
31.11,45.36,11.99,9.53,0.72,83.9
31.19,45.37,12.46,8.98,0.72,89.5
31.35,44.85,12.44,7.58,0.69,95.39
34.13,46.61,12.45,6.43,0.69,99.69
39.72,51.78,11.99,6.18,0.71,98.2
42.61,55.52,11.66,6.76,0.77,94.65
42.01,56.46,11.39,7.82,0.83,92.92
40.47,56.28,11.32,8.88,0.87,94.69
38.47,53.99,11.15,9.28,0.84,97.06
37.23,51.87,10.25,9.06,0.8,98.83
37.74,51.38,9.17,8.6,0.76,100.2
37.95,51.92,8.75,8.92,0.75,100.73
35.4,50.04,8.73,9.33,0.74,101.85
32.6,46.75,8.3,8.92,0.68,103.8
30.38,43.9,7.76,8.43,0.61,105.13
28.66,42.18,7.47,8.32,0.57,106.14
27.66,41.19,7.91,8.18,0.51,108.48
24.03,36.83,8.16,7.75,0.41,106.97
22.67,35.88,7.55,7.91,0.39,109.17
13.8,15.5,1.87,1.77,0.17,41.04
14.01,16.67,2.23,2.39,0.19,39.23
13.35,16.55,2.16,2.37,0.21,37.66
13.09,16.91,2.26,2.51,0.25,36.08
12.91,17.42,2.42,2.81,0.32,33.22
12.71,18.2,2.55,3.04,0.4,29.07
